WORD	arg0(np)-v(v)-arg1(np)-arg2(pp)	arg0(np)-v(v)-arg2(np)-arg1(np)	PREFERENCE	LLR	PEARSONRESID	LOGODDSRATIO	MI	DELTAPC2W	DELTAPW2C	FYE
put.01	355	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	142.289137044547	3.66980195112102	27.0970031529252	0.280555560855218	0.0645806803711115	0.186649794368871	15.9976676541977
take.01	189	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	74.6812519782045	2.67768418028848	26.4380164826857	0.280555560855218	0.0343823903947608	0.181874229346486	8.63589611047111
accuse.01	100	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	39.2183541575391	1.94772864180282	25.7908365839048	0.280555560855218	0.0181917409496089	0.179413106279459	5.08551321378035
use.01	76	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	29.7461480833147	1.69799046381164	25.515986106111	0.280555560855218	0.0138257231217027	0.178760793819118	3.8495018315203
receive.01	75	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	29.352299350377	1.6867824834798	25.5027775493209	0.280555560855218	0.0136438057122067	0.178733717055438	3.96098754209067
keep.04	73	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	28.5647996495852	1.66414008104255	25.4758440432636	0.280555560855218	0.0132799708932145	0.178679588128407	3.7483986651385
get.01	71	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	27.7775634880231	1.64118532533359	25.4481888711251	0.280555560855218	0.0129161360742223	0.178625491976991	3.9750645621144
throw.01	68	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	26.5972029948225	1.60613818403877	25.4052616406656	0.280555560855218	0.012370383845734	0.178544409139053	3.87448332232228
thank.01	57	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	22.2742746185991	1.47050287704461	25.2303718286942	0.280555560855218	0.0103692923412771	0.178247734138973	3.3496935600127
describe.01	52	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	20.3119302240692	1.40452709774198	25.139784515086	0.280555560855218	0.00945970529379662	0.17811320754717	3.02667687318376
spend.02	49	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	19.1353088346714	1.36341004926197	25.081304210748	0.280555560855218	0.00891395306530835	0.178032589016294	2.91832724090443
add.02	47	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	18.3512213967565	1.33529548235084	25.0403525646887	0.280555560855218	0.00855011824631617	0.177978883861237	2.70191983433732
place.01	40	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	15.6089715894081	1.23185175440863	24.8824975789132	0.280555560855218	0.00727669637984355	0.177791170709658	2.57078369518586
buy.01	38	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	14.8260584181119	1.2006605713513	24.8324831345666	0.280555560855218	0.00691286156085137	0.177737611086007	2.35416401549331
